"Year","District","School","Long","Lat","Test","Age","Shprev","Smanprev","anySCHprev"
2017,"CHIKWAWA","Chidimba",34.62314942,-16.32405833,"KK/UF","1114",0.0333333333333333,0,0.0333333333333333
2017,"CHIKWAWA","Dolo School",34.92149295,-16.54948421,"KK/UF","1014",0,0,0
2017,"CHIKWAWA","Dzimbiri CP School",34.7485167,-15.93088519,"KK/UF","1114",0.0666666666666667,0,0.0666666666666667
2017,"CHIKWAWA","Goma School",34.85768748,-16.39322404,"KK/UF","1114",0.333333333333333,0,0.333333333333333
2017,"CHIKWAWA","Jeke  JP School",34.941145,-16.16340969,"KK/UF","1114",0.103448275862069,0,0.103448275862069
2017,"CHIKWAWA","Lalanje School",35.02116997,-16.52293686,"KK/UF","1014",0.233333333333333,0,0.233333333333333
2017,"CHIKWAWA","Lengwe LEA School",34.79957864,-16.20180751,"KK/UF","1114",0.166666666666667,0,0.166666666666667
2017,"CHIKWAWA","Mitengo JP School",34.98339619,-16.18686643,"KK/UF","1014",0.166666666666667,0,0.166666666666667
2017,"CHIKWAWA","Mlambe School",34.85692756,-16.49901653,"KK/UF","1114",0.0333333333333333,0,0.0333333333333333
2017,"CHIKWAWA","Nabisi School",34.80862509,-16.40886389,"KK/UF","1014",0.25,0,0.25
2017,"CHIKWAWA","Nangale School",35.00158653,-16.21625547,"KK/UF","1114",0.0666666666666667,0,0.0666666666666667
2017,"CHIKWAWA","Njereza School",34.77495852,-15.96364637,"KK/UF","1014",0.2,0,0.2
2017,"CHIKWAWA","Phanda FP School",34.94088721,-16.57473093,"KK/UF","1114",0.233333333333333,0,0.233333333333333
2017,"CHIKWAWA","Sekeni",34.87437997,-16.28206161,"KK/UF","1014",0.3,0,0.3
2017,"CHIKWAWA","Therere FP School",34.64580108,-16.33712952,"KK/UF","1114",0.103448275862069,0,0.103448275862069
2017,"CHITIPA","Chibale",33.43485348,-9.620210437,"KK/UF","1014",0.133333333333333,0,0.133333333333333
2017,"CHITIPA","Chipwela School",33.52872506,-9.777221619,"KK/UF","1014",0.0666666666666667,0,0.0666666666666667
2017,"CHITIPA","Chisenga FP School",33.39747888,-9.987416854,"KK/UF","1014",0.0333333333333333,0,0.0333333333333333
2017,"CHITIPA","Chiwanga School",33.02222169,-9.444877484,"KK/UF","1014",0,0,0
2017,"CHITIPA","Ibabala School",33.47482684,-9.631828552,"KK/UF","1014",0,0,0
2017,"CHITIPA","Ifumbo FP School",33.40550516,-9.608343686,"KK/UF","1014",0.0333333333333333,0,0.0333333333333333
2017,"CHITIPA","Ilema School",33.32794122,-9.757568907,"KK/UF","1014",0.0333333333333333,0,0.0333333333333333
2017,"CHITIPA","Ipenza School",33.11451033,-9.478515042,"KK/UF","1015",0,0,0
2017,"CHITIPA","Karopa School",33.64422624,-10.21872332,"KK/UF","1014",0,0,0
2017,"CHITIPA","Malukwa School",33.10127513,-9.660171126,"KK/UF","1014",0.1,0,0.1
2017,"CHITIPA","Mbula School",33.35870814,-9.609519239,"KK/UF","1015",0.0333333333333333,0,0.0333333333333333
2017,"CHITIPA","Mubanga School",33.32968635,-9.788506174,"KK/UF","1014",0.0333333333333333,0,0.0333333333333333
2017,"CHITIPA","Mukule School",33.69114269,-10.11027794,"KK/UF","1015",0.0333333333333333,0,0.0333333333333333
2017,"CHITIPA","Mungo'ngo F.P School",33.4423257,-9.850981427,"KK/UF","1014",0.0666666666666667,0,0.0666666666666667
2017,"CHITIPA","Mwakalomba School",33.36579368,-9.562445916,"KK/UF","1014",0.1,0,0.1
2017,"CHITIPA","Nahayombo School",33.17782462,-9.560478056,"KK/UF","1014",0,0,0
2017,"CHITIPA","Namuchese FP School",33.47881273,-9.824141649,"KK/UF","1015",0,0,0
2017,"CHITIPA","Nthalire LEA School",33.63293556,-10.35098801,"KK/UF","1014",0.0333333333333333,0,0.0333333333333333
2017,"CHITIPA","St Ignitious School",33.64125,-10.3513,"KK/UF","1014",0,0,0
2017,"CHITIPA","Ukanga School",33.48725674,-10.12664237,"KK/UF","1014",0.0666666666666667,0,0.0666666666666667
2017,"CHITIPA","Yamba School",33.35410706,-9.686954052,"KK/UF","1014",0.166666666666667,0,0.166666666666667
2017,"DEDZA","Chigwenembe School",34.18887265,-14.3460171,"KK/UF","1014",0,0.0333333333333333,0.0333333333333333
2017,"DEDZA","Chikwawa School",34.57111055,-14.28461726,"KK/UF","1012",0.233333333333333,0.166666666666667,0.366666666666667
2017,"DEDZA","Chimkombero School",34.4232492,-14.30317483,"KK/UF","1014",0.0666666666666667,0,0.0666666666666667
2017,"DEDZA","Chinkhumbe School",34.5281984,-14.21324566,"KK/UF","1014",0.0666666666666667,0.266666666666667,0.333333333333333
2017,"DEDZA","Kaimvi FP School",33.96002069,-14.38378731,"KK/UF","1014",0.166666666666667,0,0.166666666666667
2017,"DEDZA","Kalira School",34.49902535,-14.26776028,"KK/UF","1014",0.0333333333333333,0.0666666666666667,0.1
